Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,LATITUDE,LONGITUDE,ALT,Flood?,Season,Rainfall_Category,Temperature_Range,Humidity_Rainfall_Index
Mymensingh,1949,7,31.8,25.8,398.0,86.0,1.544444444,6.5,3.691428571,24.75,90.41,19,1,Monsoon,High,6.0,34228.0
Barisal,1949,8,33.5,25.7,349.0,86.0,1.32962963,5.6,4.272340426,22.7,90.36,4,1,Monsoon,High,7.800000000000001,30014.0
Chittagong (IAP-Patenga),1949,8,32.6,25.1,504.0,87.0,4.088888889,2.0,4.886792453,22.34,91.79,6,1,Monsoon,Extreme,7.5,43848.0
Comilla,1949,8,33.6,25.5,661.0,88.0,2.209259259,6.1,5.233333333,23.48,91.19,10,1,Monsoon,Extreme,8.100000000000001,58168.0
Cox's Bazar,1949,8,31.7,24.7,683.0,91.0,2.898148148,6.4,4.483018868,21.46,91.98,4,1,Monsoon,Extreme,7.0,62153.0
Dinajpur,1949,8,33.6,25.9,291.0,88.0,0.885185185,5.8,5.208,25.63,88.66,37,1,Monsoon,High,7.700000000000003,25608.0
Satkhira,1949,8,33.5,25.5,419.0,89.0,1.364814815,6.5,4.373333333,22.68,89.07,6,1,Monsoon,High,8.0,37291.0
Chittagong (IAP-Patenga),1949,9,32.9,25.0,577.0,86.0,2.955555556,6.1,5.824528302,22.34,91.79,6,1,Monsoon,Extreme,7.899999999999999,49622.0
Cox's Bazar,1949,9,32.5,24.4,359.0,87.0,2.190740741,5.4,5.873584906,21.46,91.98,4,1,Monsoon,High,8.100000000000001,31233.0
Dinajpur,1949,9,36.7,25.8,330.0,86.0,0.753703704,4.5,5.184,25.63,88.66,37,1,Monsoon,High,10.900000000000002,28380.0
Barisal,1950,5,36.1,25.5,87.0,78.0,1.703703704,4.8,7.046808511,22.7,90.36,4,1,Pre-Monsoon,Moderate,10.6,6786.0
Barisal,1950,6,33.9,26.0,476.0,87.0,1.631481481,7.2,4.072340426,22.7,90.36,4,1,Monsoon,High,7.899999999999999,41412.0
Chittagong (IAP-Patenga),1950,6,33.9,25.4,1676.0,84.0,4.477777778,6.4,4.254716981,22.34,91.79,6,1,Monsoon,Extreme,8.5,140784.0
Comilla,1950,6,33.0,25.7,426.0,89.0,2.501851852,6.6,4.927272727,23.48,91.19,10,1,Monsoon,High,7.300000000000001,37914.0
Cox's Bazar,1950,6,33.3,25.0,790.0,85.0,3.238888889,5.0,4.033962264,21.46,91.98,4,1,Monsoon,Extreme,8.299999999999997,67150.0
Dinajpur,1950,6,36.3,24.9,393.0,84.0,1.024074074,5.7,5.228,25.63,88.66,37,1,Monsoon,High,11.4,33012.0
Faridpur,1950,6,33.2,25.5,708.0,88.0,1.833333333,6.9,5.0,23.61,89.84,9,1,Monsoon,Extreme,7.700000000000003,62304.0
Jessore,1950,6,37.4,25.1,557.0,88.0,3.233333333,6.2,4.655319149,23.17,89.22,7,1,Monsoon,Extreme,12.299999999999995,49016.0
Mymensingh,1950,6,35.4,25.3,502.0,86.0,1.7,6.8,4.02,24.75,90.41,19,1,Monsoon,Extreme,10.099999999999998,43172.0
Satkhira,1950,6,37.2,25.6,599.0,89.0,1.701851852,6.6,4.386666667,22.68,89.07,6,1,Monsoon,Extreme,11.6,53311.0
Barisal,1950,7,32.2,25.9,546.0,89.0,1.57037037,6.8,3.738297872,22.7,90.36,4,1,Monsoon,Extreme,6.300000000000004,48594.0
Chittagong (IAP-Patenga),1950,7,32.7,24.7,997.0,85.0,4.577777778,6.7,4.28490566,22.34,91.79,6,1,Monsoon,Extreme,8.000000000000004,84745.0
Cox's Bazar,1950,7,32.3,24.5,1368.0,88.0,3.298148148,4.6,3.724528302,21.46,91.98,4,1,Monsoon,Extreme,7.799999999999997,120384.0
Dinajpur,1950,7,35.0,26.1,189.0,85.0,0.955555556,5.3,4.288,25.63,88.66,37,1,Monsoon,Moderate,8.899999999999999,16065.0
Faridpur,1950,7,31.0,25.9,419.0,88.0,1.774074074,6.9,4.431034483,23.61,89.84,9,1,Monsoon,High,5.100000000000001,36872.0
Barisal,1950,8,32.8,25.6,337.0,90.0,1.32962963,7.4,4.272340426,22.7,90.36,4,1,Monsoon,High,7.199999999999996,30330.0
Bogra,1950,8,32.2,26.2,555.0,89.0,1.424074074,7.1,5.001886792,24.88,89.36,20,1,Monsoon,Extreme,6.000000000000004,49395.0
Chittagong (IAP-Patenga),1950,8,32.2,24.8,669.0,88.0,4.088888889,6.9,4.886792453,22.34,91.79,6,1,Monsoon,Extreme,7.400000000000002,58872.0
Comilla,1950,8,31.9,24.8,530.0,91.0,2.209259259,7.1,5.233333333,23.48,91.19,10,1,Monsoon,Extreme,7.099999999999998,48230.0
Cox's Bazar,1950,8,32.2,24.7,744.0,88.0,2.898148148,4.8,4.483018868,21.46,91.98,4,1,Monsoon,Extreme,7.5000000000000036,65472.0
Dinajpur,1950,8,33.9,25.1,288.0,88.0,0.885185185,6.3,5.208,25.63,88.66,37,1,Monsoon,High,8.799999999999997,25344.0
Faridpur,1950,8,31.1,25.8,441.0,88.0,1.640740741,7.5,4.95862069,23.61,89.84,9,1,Monsoon,High,5.300000000000001,38808.0
Mymensingh,1950,8,35.4,24.6,498.0,90.0,1.411111111,7.9,4.377142857,24.75,90.41,19,1,Monsoon,High,10.799999999999995,44820.0
Satkhira,1950,8,32.9,25.6,311.0,91.0,1.364814815,6.8,4.373333333,22.68,89.07,6,1,Monsoon,High,7.299999999999997,28301.0
Cox's Bazar,1950,9,34.2,24.9,440.0,84.0,2.190740741,3.2,5.873584906,21.46,91.98,4,1,Monsoon,High,9.300000000000004,36960.0
Barisal,1950,10,33.3,24.5,339.0,85.0,0.490740741,5.8,7.0,22.7,90.36,4,1,Post-Monsoon,High,8.799999999999997,28815.0
Barisal,1951,6,33.9,26.2,394.0,87.0,1.631481481,6.7,4.072340426,22.7,90.36,4,1,Monsoon,High,7.699999999999999,34278.0
Chittagong (IAP-Patenga),1951,6,33.5,25.1,458.0,87.0,4.477777778,6.4,4.254716981,22.34,91.79,6,1,Monsoon,High,8.399999999999999,39846.0
Comilla,1951,6,32.8,25.5,539.0,87.0,2.501851852,7.1,4.927272727,23.48,91.19,10,1,Monsoon,Extreme,7.299999999999997,46893.0
Cox's Bazar,1951,6,34.4,24.3,691.0,87.0,3.238888889,6.1,4.033962264,21.46,91.98,4,1,Monsoon,Extreme,10.099999999999998,60117.0
Dinajpur,1951,6,35.4,24.8,384.0,85.0,1.024074074,5.8,5.228,25.63,88.66,37,1,Monsoon,High,10.599999999999998,32640.0
Maijdee Court,1951,6,32.0,25.4,586.0,86.14516129,1.998148148,5.8,3.872413793,22.83,91.08,6,1,Monsoon,Extreme,6.600000000000001,50481.06451594
Mymensingh,1951,6,36.0,25.4,401.0,88.0,1.7,6.2,4.02,24.75,90.41,19,1,Monsoon,High,10.6,35288.0
Barisal,1951,7,35.0,26.0,375.0,89.0,1.57037037,7.2,3.738297872,22.7,90.36,4,1,Monsoon,High,9.0,33375.0
Bogra,1951,7,32.0,26.1,390.0,86.0,1.577777778,6.8,4.435849057,24.88,89.36,20,1,Monsoon,High,5.899999999999999,33540.0
Chittagong (IAP-Patenga),1951,7,35.0,24.8,670.0,86.0,4.577777778,6.1,4.28490566,22.34,91.79,6,1,Monsoon,Extreme,10.2,57620.0
Comilla,1951,7,32.3,24.9,857.0,87.0,2.481481481,7.0,4.566666667,23.48,91.19,10,1,Monsoon,Extreme,7.399999999999999,74559.0
Cox's Bazar,1951,7,34.1,24.3,661.0,87.0,3.298148148,6.5,3.724528302,21.46,91.98,4,1,Monsoon,Extreme,9.8,57507.0
Dinajpur,1951,7,35.6,25.8,373.0,85.0,0.955555556,5.6,4.288,25.63,88.66,37,1,Monsoon,High,9.8,31705.0
Khulna,1951,7,33.9,25.7,475.0,86.0,1.596296296,5.7,3.89,22.8,89.58,4,1,Monsoon,High,8.2,40850.0
Maijdee Court,1951,7,30.6,25.4,712.0,87.64516129,2.0,6.3,3.575862069,22.83,91.08,6,1,Monsoon,Extreme,5.200000000000003,62403.35483848
Satkhira,1951,7,34.5,25.6,316.0,87.0,1.514814815,7.1,3.93,22.68,89.07,6,1,Monsoon,High,8.899999999999999,27492.0
Chittagong (IAP-Patenga),1951,8,33.4,25.3,747.0,86.0,4.088888889,5.5,4.886792453,22.34,91.79,6,1,Monsoon,Extreme,8.099999999999998,64242.0
Comilla,1951,8,33.3,25.6,596.0,86.0,2.209259259,6.5,5.233333333,23.48,91.19,10,1,Monsoon,Extreme,7.699999999999996,51256.0
Cox's Bazar,1951,8,33.3,24.6,765.0,87.0,2.898148148,6.5,4.483018868,21.46,91.98,4,1,Monsoon,Extreme,8.699999999999996,66555.0
Dinajpur,1951,8,35.3,26.5,480.0,84.0,0.885185185,5.2,5.208,25.63,88.66,37,1,Monsoon,High,8.799999999999997,40320.0
Comilla,1951,9,32.7,25.5,401.0,86.0,1.537037037,5.4,5.548484848,23.48,91.19,10,1,Monsoon,High,7.200000000000003,34486.0
Cox's Bazar,1951,9,33.3,24.7,799.0,85.0,2.190740741,4.0,5.873584906,21.46,91.98,4,1,Monsoon,Extreme,8.599999999999998,67915.0
Barisal,1951,10,33.3,25.1,301.0,85.0,0.490740741,4.8,7.0,22.7,90.36,4,1,Post-Monsoon,High,8.199999999999996,25585.0
Chittagong (IAP-Patenga),1951,10,33.1,24.4,488.0,83.0,1.764814815,4.2,7.056603774,22.34,91.79,6,1,Post-Monsoon,High,8.700000000000003,40504.0
Comilla,1951,10,32.2,24.3,427.0,88.0,0.912962963,4.5,6.839393939,23.48,91.19,10,1,Post-Monsoon,High,7.900000000000002,37576.0
Cox's Bazar,1951,10,33.9,24.1,606.0,82.0,1.635185185,3.6,7.533962264,21.46,91.98,4,1,Post-Monsoon,Extreme,9.799999999999995,49692.0
Comilla,1952,5,33.4,24.9,541.0,83.0,2.285185185,4.8,6.587878788,23.48,91.19,10,1,Pre-Monsoon,Extreme,8.5,44903.0
Dinajpur,1952,5,34.4,22.6,290.0,79.0,1.027777778,4.0,6.848,25.63,88.66,37,1,Pre-Monsoon,High,11.799999999999995,22910.0
Barisal,1952,6,32.9,25.7,406.0,87.0,1.631481481,6.2,4.072340426,22.7,90.36,4,1,Monsoon,High,7.199999999999999,35322.0
Bogra,1952,6,37.1,25.7,393.0,82.0,1.701851852,5.8,4.939622642,24.88,89.36,20,1,Monsoon,High,11.400000000000002,32226.0
Chittagong (IAP-Patenga),1952,6,33.6,25.4,687.0,84.0,4.477777778,5.8,4.254716981,22.34,91.79,6,1,Monsoon,Extreme,8.200000000000003,57708.0
Comilla,1952,6,34.4,25.7,899.0,87.0,2.501851852,6.4,4.927272727,23.48,91.19,10,1,Monsoon,Extreme,8.7,78213.0
Cox's Bazar,1952,6,32.8,24.8,809.0,88.0,3.238888889,6.1,4.033962264,21.46,91.98,4,1,Monsoon,Extreme,7.9999999999999964,71192.0
Dinajpur,1952,6,37.2,25.7,372.0,83.0,1.024074074,4.1,5.228,25.63,88.66,37,1,Monsoon,High,11.500000000000004,30876.0
Maijdee Court,1952,6,34.8,25.7,798.0,86.0,1.998148148,6.2,3.872413793,22.83,91.08,6,1,Monsoon,Extreme,9.099999999999998,68628.0
Barisal,1952,7,31.2,25.6,414.0,88.0,1.57037037,6.5,3.738297872,22.7,90.36,4,1,Monsoon,High,5.599999999999998,36432.0
Bogra,1952,7,35.8,26.0,336.0,84.0,1.577777778,6.8,4.435849057,24.88,89.36,20,1,Monsoon,High,9.799999999999995,28224.0
Chittagong (IAP-Patenga),1952,7,33.7,25.1,491.0,86.0,4.577777778,6.2,4.28490566,22.34,91.79,6,1,Monsoon,High,8.600000000000001,42226.0
Comilla,1952,7,32.7,25.3,644.0,88.0,2.481481481,7.1,4.566666667,23.48,91.19,10,1,Monsoon,Extreme,7.400000000000002,56672.0
Cox's Bazar,1952,7,32.3,25.1,1266.0,91.0,3.298148148,6.8,3.724528302,21.46,91.98,4,1,Monsoon,Extreme,7.199999999999996,115206.0
Dinajpur,1952,7,34.4,25.6,637.0,85.0,0.955555556,5.7,4.288,25.63,88.66,37,1,Monsoon,Extreme,8.799999999999997,54145.0
Faridpur,1952,7,34.4,25.5,468.0,88.0,1.774074074,6.7,4.431034483,23.61,89.84,9,1,Monsoon,High,8.899999999999999,41184.0
Khulna,1952,7,34.1,25.6,496.0,88.0,1.596296296,6.5,3.89,22.8,89.58,4,1,Monsoon,High,8.5,43648.0
Maijdee Court,1952,7,32.3,25.5,740.0,88.0,2.0,6.6,3.575862069,22.83,91.08,6,1,Monsoon,Extreme,6.799999999999997,65120.0
Satkhira,1952,7,33.8,25.8,522.0,90.0,1.514814815,7.2,3.93,22.68,89.07,6,1,Monsoon,Extreme,7.9999999999999964,46980.0
Barisal,1952,8,31.4,25.7,349.0,88.0,1.32962963,6.4,4.272340426,22.7,90.36,4,1,Monsoon,High,5.699999999999999,30712.0
Chittagong (IAP-Patenga),1952,8,32.8,25.0,401.0,86.0,4.088888889,6.3,4.886792453,22.34,91.79,6,1,Monsoon,High,7.799999999999997,34486.0
Comilla,1952,8,34.4,25.5,419.0,86.0,2.209259259,6.8,5.233333333,23.48,91.19,10,1,Monsoon,High,8.899999999999999,36034.0
Cox's Bazar,1952,8,31.7,24.7,439.0,91.0,2.898148148,6.5,4.483018868,21.46,91.98,4,1,Monsoon,High,7.0,39949.0
Maijdee Court,1952,8,32.2,25.7,448.0,87.0,1.77962963,6.3,4.64137931,22.83,91.08,6,1,Monsoon,High,6.500000000000004,38976.0
Bogra,1952,9,35.4,25.9,376.0,84.0,1.205555556,6.2,5.447169811,24.88,89.36,20,1,Monsoon,High,9.5,31584.0
Comilla,1952,9,31.8,25.2,570.0,90.0,1.537037037,7.0,5.548484848,23.48,91.19,10,1,Monsoon,Extreme,6.600000000000001,51300.0
Cox's Bazar,1952,9,32.1,24.5,617.0,92.0,2.190740741,6.3,5.873584906,21.46,91.98,4,1,Monsoon,Extreme,7.600000000000001,56764.0
Dinajpur,1952,9,35.6,25.4,511.0,87.0,0.753703704,5.6,5.184,25.63,88.66,37,1,Monsoon,Extreme,10.200000000000005,44457.0
Mymensingh,1952,9,32.8,26.1,468.0,88.0,1.114814815,7.0,4.231428571,24.75,90.41,19,1,Monsoon,High,6.699999999999996,41184.0
Chittagong (IAP-Patenga),1952,10,33.9,24.4,307.0,86.0,1.764814815,4.4,7.056603774,22.34,91.79,6,1,Post-Monsoon,High,9.5,26402.0
Comilla,1952,10,33.1,24.4,422.0,87.0,0.912962963,4.8,6.839393939,23.48,91.19,10,1,Post-Monsoon,High,8.700000000000003,36714.0
Cox's Bazar,1952,10,34.2,24.3,505.0,84.0,1.635185185,4.9,7.533962264,21.46,91.98,4,1,Post-Monsoon,Extreme,9.900000000000002,42420.0
Maijdee Court,1952,10,32.9,24.2,399.0,87.0,0.814814815,3.6,6.631034483,22.83,91.08,6,1,Post-Monsoon,High,8.7,34713.0
Dhaka,1953,1,26.7,10.9,10.0,70.0,0.725925926,1.7,7.343396226,23.78,90.39,9,0,Winter,Low,15.8,700.0
Dhaka,1953,2,33.6,14.7,2.0,65.0,0.924074074,2.1,8.130188679,23.78,90.39,9,0,Winter,Low,18.9,130.0
Barisal,1953,5,36.1,25.2,339.0,81.0,1.703703704,5.3,7.046808511,22.7,90.36,4,1,Pre-Monsoon,High,10.900000000000002,27459.0
Chittagong (IAP-Patenga),1953,5,35.3,24.6,508.0,80.0,3.762962963,4.8,7.128301887,22.34,91.79,6,1,Pre-Monsoon,Extreme,10.699999999999996,40640.0
Maijdee Court,1953,5,33.3,24.6,480.0,82.0,1.703703704,5.0,6.513793103,22.83,91.08,6,1,Pre-Monsoon,High,8.699999999999996,39360.0
Barisal,1953,6,35.6,25.2,715.0,88.0,1.631481481,7.3,4.072340426,22.7,90.36,4,1,Monsoon,Extreme,10.400000000000002,62920.0
Chittagong (IAP-Patenga),1953,6,33.4,25.1,527.0,83.0,4.477777778,5.9,4.254716981,22.34,91.79,6,1,Monsoon,Extreme,8.299999999999997,43741.0
Comilla,1953,6,34.4,24.9,661.0,87.0,2.501851852,5.6,4.927272727,23.48,91.19,10,1,Monsoon,Extreme,9.5,57507.0
Cox's Bazar,1953,6,32.8,24.5,722.0,89.0,3.238888889,6.1,4.033962264,21.46,91.98,4,1,Monsoon,Extreme,8.299999999999997,64258.0
Dinajpur,1953,6,35.6,25.1,254.0,82.0,1.024074074,5.4,5.228,25.63,88.66,37,1,Monsoon,High,10.5,20828.0
Faridpur,1953,6,35.6,24.7,591.0,87.0,1.833333333,6.6,5.0,23.61,89.84,9,1,Monsoon,Extreme,10.900000000000002,51417.0
Khulna,1953,6,35.7,25.4,553.0,86.0,1.72037037,6.5,4.546666667,22.8,89.58,4,1,Monsoon,Extreme,10.300000000000004,47558.0
Maijdee Court,1953,6,33.3,25.0,692.0,84.0,1.998148148,6.3,3.872413793,22.83,91.08,6,1,Monsoon,Extreme,8.299999999999997,58128.0
Mymensingh,1953,6,35.7,25.7,473.0,89.0,1.7,7.6,4.02,24.75,90.41,19,1,Monsoon,High,10.000000000000004,42097.0
Satkhira,1953,6,36.7,25.6,505.0,86.0,1.701851852,6.9,4.386666667,22.68,89.07,6,1,Monsoon,Extreme,11.1,43430.0
Srimangal,1953,6,34.9,23.9,650.0,89.0,0.914814815,6.3,4.346428571,24.29,91.73,23,1,Monsoon,Extreme,11.0,57850.0
Barisal,1953,7,35.0,25.5,526.0,91.0,1.57037037,6.9,3.738297872,22.7,90.36,4,1,Monsoon,Extreme,9.5,47866.0
Chittagong (IAP-Patenga),1953,7,35.2,24.9,764.0,89.0,4.577777778,6.4,4.28490566,22.34,91.79,6,1,Monsoon,Extreme,10.300000000000004,67996.0
Comilla,1953,7,34.4,25.5,612.0,89.0,2.481481481,6.9,4.566666667,23.48,91.19,10,1,Monsoon,Extreme,8.899999999999999,54468.0
Cox's Bazar,1953,7,33.4,24.9,1084.0,89.0,3.298148148,6.7,3.724528302,21.46,91.98,4,1,Monsoon,Extreme,8.5,96476.0
Dinajpur,1953,7,36.1,26.1,715.0,88.0,0.955555556,5.9,4.288,25.63,88.66,37,1,Monsoon,Extreme,10.0,62920.0
Faridpur,1953,7,35.0,25.5,677.0,89.0,1.774074074,6.4,4.431034483,23.61,89.84,9,1,Monsoon,Extreme,9.5,60253.0
Khulna,1953,7,34.3,25.9,525.0,89.0,1.596296296,6.3,3.89,22.8,89.58,4,1,Monsoon,Extreme,8.399999999999999,46725.0
Maijdee Court,1953,7,34.0,25.1,845.0,89.0,2.0,6.7,3.575862069,22.83,91.08,6,1,Monsoon,Extreme,8.899999999999999,75205.0
Mymensingh,1953,7,36.0,26.2,407.0,89.0,1.544444444,7.3,3.691428571,24.75,90.41,19,1,Monsoon,High,9.8,36223.0
Satkhira,1953,7,34.1,26.1,368.0,88.0,1.514814815,6.8,3.93,22.68,89.07,6,1,Monsoon,High,8.0,32384.0
Chittagong (IAP-Patenga),1953,8,33.2,24.6,529.0,86.0,4.088888889,6.1,4.886792453,22.34,91.79,6,1,Monsoon,Extreme,8.600000000000001,45494.0
Cox's Bazar,1953,8,32.9,23.9,606.0,90.0,2.898148148,6.9,4.483018868,21.46,91.98,4,1,Monsoon,Extreme,9.0,54540.0
Dinajpur,1953,8,36.7,26.2,136.0,81.0,0.885185185,5.6,5.208,25.63,88.66,37,1,Monsoon,Moderate,10.500000000000004,11016.0
Jessore,1953,8,34.8,26.0,476.0,89.0,2.637037037,5.9,4.461702128,23.17,89.22,7,1,Monsoon,High,8.799999999999997,42364.0
Bogra,1953,9,32.5,25.6,351.0,87.0,1.205555556,6.0,5.447169811,24.88,89.36,20,1,Monsoon,High,6.899999999999999,30537.0
Chittagong (IAP-Patenga),1953,9,33.6,25.0,622.0,87.0,2.955555556,5.8,5.824528302,22.34,91.79,6,1,Monsoon,Extreme,8.600000000000001,54114.0
Comilla,1953,9,33.9,25.5,493.0,87.0,1.537037037,6.4,5.548484848,23.48,91.19,10,1,Monsoon,High,8.399999999999999,42891.0
Cox's Bazar,1953,9,32.8,24.7,401.0,86.0,2.190740741,6.6,5.873584906,21.46,91.98,4,1,Monsoon,High,8.099999999999998,34486.0
Dinajpur,1953,9,36.0,25.1,217.0,85.0,0.753703704,4.7,5.184,25.63,88.66,37,1,Monsoon,High,10.9,18445.0
Maijdee Court,1953,9,33.3,25.1,609.0,87.0,1.266666667,6.5,4.951724138,22.83,91.08,6,1,Monsoon,Extreme,8.199999999999996,52983.0
Mymensingh,1953,9,36.0,25.4,788.0,89.0,1.114814815,6.0,4.231428571,24.75,90.41,19,1,Monsoon,Extreme,10.6,70132.0
