Duration(Days),Main Cause,Districts,State,Extent of damage,Event Source,District_LGD_Codes,State_Codes,Start_Year,Start_Month,Start_Day,High_Impact,Year,Month,Day,Quarter,Month_Sin,Month_Cos,Long_Event,Cause_Group,State_Count,District_Count,Event_Source_Available
7.0,floods,"Kupwara, Bandipora, Baramulla, Ganderbal, Anantnag, Kishtwar, Srinagar, Budgam, Pulwama, Poonch, Shopian, Kulgam, Rajouri, Ramban, Reasi, Doda, Jammu, Kathua, Udhampur, Samba, Muzaffarabad, Mirpur, 
Gurdaspur, Hoshiarpur, Amritsar, Jalandhar, Tarn Taran, Rupnagar, Shahid Bhagat Singh Nagar, Fazilka, Moga, Ludhiana, S.A.S Nagar*, Faridkot, Fatehgarh Sahib, Sri Sri Muktsar Sahib Sahib, Sangrur, Barnala, Bathinda, Patiala, Mansa, Ferozepur, Pathankot, Kapurthala, Amroha, Hapur, Bareilly, Pilibhit, Bulandshahr, Gautam Buddha Nagar, Kheri, Budaun, Bahraich, Shahjahanpur, Aligarh, Kasganj, Mathura, SShrawasti, Sitapur, Hathras, Etah, Hardoi, Farrukhabad, Firozabad, Siddharthnagar, Mainpuri, Mahrajganj, Agra, Gonda, Bara Banki, Kushinagar, Kannauj, Lucknow, Basti, Gorakhpur, Sant Kabir Nagar, Unnao, Etawah, Kanpur nagar Nagar, Auraiya, Ayodhya, Kanpur nagar Dehat, Deoria, Sultanpur, Ambedkar Nagar, Rae Bareli, Jalaun, Azamgarh, Mau, Fatehpur, Ballia, Jaunpur, Jhansi, Banda, Ghazipurr, Kaushambi, Prayagraj, Varanasi, Chitrakoot, Chandauli, Bhadohi, Mirzapur, Lalitpur, Sonbhadra, Amethi, Ghaziabad, Sambhal, Mahoba, Saharanpur, Bijnor, Muzaffarnagar, Baghpat, Meerut, Moradabad, Rampur, Shamli, Balrampur, Hamirpur, Pratapgarh, Tinsukia, Dhemaji, Dibrugarh, Lakhimpur, Sivasagar, Jorhat, Sonitpur, Golaghat, Udalguri, Chirang, Baksa, Nagaon, Kokrajhar, Darrang, Barpeta, Nalbari, Marigaon, Kamrup, Bongaigaon, Dhubri, Kamrup Metro, Goalpara, Dima Hasao, Cachar, Karimganj, Hailakandi, Charaideo, Majuli, Biswanath, Hojai, South Salmara Mancachar, Karbi Anglong, West Karbi Anglong, Upper Lower Subansiri, Anjaw, Changlang, Tawang, Papum Pare, Tirap, East Siang, Lohit, Kurung Kumey, Lower Lower Subansiri, East Kameng, West Kameng, West Kameng, West Kameng, Kra Daadi, Namsai, Longding, Upper Siang, Lower Siang, Dibang Valley, Lower Dibang Valley, Siang, Shi Yomi, Pakke Kessang, West Siang, Leparada, Kamle","Jammu and Kashmir, Punjab, Uttar Pradesh, Assam,  Arunachal Pradesh",Caused havoc,IMD,,,1973.0,8.0,8.0,1,1973.0,8.0,8.0,3.0,-0.8660254037844385,-0.5000000000000004,1,Other,5,179,1
17.0,severe flood,,Rajasthan,"Flood water affected 14 million people,damaged nearly 10 lakh hectares of standing crops.",IMD,,8.0,1973.0,8.0,15.0,1,1973.0,8.0,15.0,3.0,-0.8660254037844385,-0.5000000000000004,1,Other,1,0,1
7.0,floods,"Churu, Jhunjhunu, Jaisalmer, Sikar, Alwar, Jaipur, Jodhpur, Bharatpur, Nagaur, Dausa, Karauli, Dholpur, Barmer, Sawai Madhopur, Tonk, Pali, Bhilwara, Jalore, Bundi, Kota, Sirohi, Baran, Udaipur, Jhalawar, Dungarpur, Banswara, Ajmer, Rajsamand, Chittorgarh, Ganganagar, Hanumangarh, Bikaner, Pratapgarh, Gurdaspur, Hoshiarpur, Amritsar, Jalandhar, Tarn Taran, Rupnagar, Shahid Bhagat Singh Nagar, Fazilka, Moga, Ludhiana, S.A.S Nagar*, Faridkot, Fatehgarh Sahib, Sri Sri Muktsar Sahib Sahib, Sangrur, Barnala, Bathinda, Patiala, Mansa, Ferozepur, Pathankot, Kapurthala, Amroha, Hapur, Bareilly, Pilibhit, Bulandshahr, Gautam Buddha Nagar, Kheri, Budaun, Bahraich, Shahjahanpur, Aligarh, Kasganj, Mathura, SShrawasti, Sitapur, Hathras, Etah, Hardoi, Farrukhabad, Firozabad, Siddharthnagar, Mainpuri, Mahrajganj, Agra, Gonda, Bara Banki, Kushinagar, Kannauj, Lucknow, Basti, Gorakhpur, Sant Kabir Nagar, Unnao, Etawah, Kanpur nagar Nagar, Auraiya, Ayodhya, Kanpur nagar Dehat, Deoria, Sultanpur, Ambedkar Nagar, Rae Bareli, Jalaun, Azamgarh, Mau, Fatehpur, Ballia, Jaunpur, Jhansi, Banda, Ghazipurr, Kaushambi, Prayagraj, Varanasi, Chitrakoot, Chandauli, Bhadohi, Mirzapur, Lalitpur, Sonbhadra, Amethi, Ghaziabad, Sambhal, Mahoba, Saharanpur, Bijnor, Muzaffarnagar, Baghpat, Meerut, Moradabad, Rampur, Shamli, Balrampur, Hamirpur, Pratapgarh","Rajasthan, Punjab, Uttar Pradesh","The estimated damage to crops,property was over Rs. 43 crores",IMD,,,1973.0,8.0,15.0,1,1973.0,8.0,15.0,3.0,-0.8660254037844385,-0.5000000000000004,1,Other,3,130,1
10.0,floods,,Gujarat,"In two spells, caused destruction of property,crops worth Rs. 120 crores ",IMD,,24.0,1973.0,8.0,31.0,1,1973.0,8.0,31.0,3.0,-0.8660254037844385,-0.5000000000000004,1,Other,1,0,1
7.0,floods,"Mirzapur,Prayagraj,Pratapgarh,Bahraich,Gonda,Basti,Jaunpur,Ghazipur, Purbi Champaran, Araria, Kishanganj, Madhubani, Sheohar, Sitamarhi, Supaul,Pashchim Champaran","Uttar Pradesh, Bihar",,IMD,,,1973.0,10.0,1.0,1,1973.0,10.0,1.0,4.0,-0.8660254037844386,0.5000000000000001,1,Other,2,16,1
7.0,severe floods,"Pashchim Champaran, Purbi Champaran, Sitamarhi, Sheohar, Gopalganj, Samastipur, Katihar, Khagaria, Bhojpur, Buxar, Darbhanga, Saharsa, Kaimur (Bhabua), Rohtas, Jamui, Banka, Nawada, Gaya, Munger, Vaishali, Begusarai, Bhagalpur, Lakhisarai, Sheikhpura, Arwal, Jehanabad, Nalanda, Patna, Saran, Siwan, Muzaffarpur, Madhepura, Araria, Supaul, Madhubani, Purnia, Kishanganj, Aurangabad, Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Deogarh, Sambalpur, South 24 Parganas*, Darjeeling, Jalpaiguri, Dakshin Dinajpur, Maldah, Murshidabad, Birbhum, Nadia, Purba Purba Bardhaman, Purulia, Bankura, North 24 Parganas","Bihar, Odisha, West Bengal, Assam, Andhra Pradesh",About 50 Lakhs of people being seriously affected,IMD,,,1973.0,10.0,8.0,1,1973.0,10.0,8.0,4.0,-0.8660254037844386,0.5000000000000001,1,Other,5,80,1
38.0,heavy rains,Mumbai (Colaba),Maharashtra,"Recorded,exceptionally heavy rainfall of 58cm in Twenty Four hours on 5th July, which was the highest on record. Low level areas in Mumbai were heavily flooded,city life was completely paralysed. Damage to Railway,public property was estimated at Rs. 6 crores.",IMD,,27.0,1974.0,7.0,1.0,1,1974.0,7.0,1.0,3.0,-0.4999999999999997,-0.8660254037844388,1,Heavy Rain,1,1,1
7.0,inceasant rains,Ratnagiri,Maharashtra,Landslide occured due to heavy rains,IMD,492.0,27.0,1974.0,7.0,1.0,1,1974.0,7.0,1.0,3.0,-0.4999999999999997,-0.8660254037844388,1,Heavy Rain,1,1,1
7.0,floods,"Pashchim Champaran, Purbi Champaran, Muzaffarpur,Darbhanga",Bihar,"Several thousands of people were dislodged, thousands of acres of cropped land were submerged, The district head quarters of Darbhanga, Mudhubani, Sitamarhi, Bettiah,Motihari were cut off drom the rest of the State",IMD,,10.0,1975.0,7.0,22.0,1,1975.0,7.0,22.0,3.0,-0.4999999999999997,-0.8660254037844388,1,Other,1,4,1
1.0,floods,Patna,Bihar,"Several places of the city remained 10 to 15 ft. deep under water. Patna was cut from rest of the country. People had to take shelter on the roofs of buildings for safety. The flood relief operations were undertaken by the Defence Forces. Train  servicesbetween Patna city,places in Araria, Begusarai, Bhojpur, Buxar, Purba Champaran, Gopalganj, Muzaffarpur, Saran, Supaul, Saharsa were cut off due to braches in railway tracks,bridges. Air services to Patna remained suspended till the end of August. 2 lakhs houses were damaged,1.5 crores of people were affected in the worst in the worst hit areas of PAtna, Chapra, Arrah, Muzzafarpur, Darbhanga,Sahabad districts. Standing crops worth one crore were damaged in Bhojpur district alone. The loss to private,public properties according to press reportes was estimayed to be about Rs. 500 crores",IMD,520.0,10.0,1975.0,8.0,25.0,1,1975.0,8.0,25.0,3.0,-0.8660254037844385,-0.5000000000000004,0,Other,1,1,1
7.0,heavy rains,"Nawada, Khagaria, Samastipur,Purbi Champaran",Bihar,"Severe floods in rivers Burhim Gadak, Adhwara,Bagmati, About half a million people were dislodged,extensive damage was caused to standing crops in more than 300 hectares, ",IMD,,10.0,1975.0,9.0,22.0,1,1975.0,9.0,22.0,3.0,-1.0,-1.8369701987210297e-16,1,Heavy Rain,1,4,1
7.0,heavy rains,,Odisha,"All rivers except Mahanadi river reached the danger levels. Large areas were completely inundated. Crops of over 2 lakh hectares had been badly affected. Road,rail communication remained suspended from 20 to 23 August",IMD,,21.0,1975.0,8.0,15.0,1,1975.0,8.0,15.0,3.0,-0.8660254037844385,-0.5000000000000004,1,Heavy Rain,1,0,1
7.0,floods,"Bulandshahr, Khurja",Uttar Pradesh,"A large number of villages with a population of 2.5 lakhs,crop areas of ninety thousand hectares were affected. 8,000 houses were damaged",IMD,,9.0,1975.0,9.0,8.0,1,1975.0,9.0,8.0,3.0,-1.0,-1.8369701987210297e-16,1,Other,1,2,1
7.0,heavy rains,"Nanded,Parbhani",Maharashtra,"Followed by flash-floods, 150 huts were washed away, The flooding of Godavari river in September swept aaway 200 huts ",IMD,,27.0,1975.0,8.0,1.0,1,1975.0,8.0,1.0,3.0,-0.8660254037844385,-0.5000000000000004,1,Heavy Rain,1,2,1
7.0,heavy rains,"Thiruvananthapuram, Kollam, Alappuzha, Kottayam, Thrissur",Kerala,"Badly affected, There was extensive damage to standing paddy crops, There was breaches in the bunds of canals,people were rvacuated to places of safety. Agricultural operations came to a standstill. In Calicut district, landsldies, had occured in South Wayanad, In the high ranages landslides followed by heavy down pour had damaged, paddy, pepper,tuber crops ",IMD,,32.0,1975.0,11.0,1.0,0,1975.0,11.0,1.0,4.0,-0.5000000000000004,0.8660254037844384,1,Heavy Rain,1,5,1
7.0,floods,"Cachar, Goalpara, Kamrup, Sivasagar, Lakhimpur, Darrang","Assam, Manipur, Arunachal Pradesh","Vast areas of land in these districts were submerged. Several thousand people were rendered homeless. Crops worth Rs. 6-7 crores, 36,000 houses were damaged. ",IMD,,,1976.0,7.0,15.0,1,1976.0,7.0,15.0,3.0,-0.4999999999999997,-0.8660254037844388,1,Other,3,6,1
7.0,floods,Darjeeling,West Bengal,"The rivers Teesta,Mahananda were in spate causing heavy land slides",IMD,309.0,19.0,1976.0,6.0,22.0,0,1976.0,6.0,22.0,2.0,1.2246467991473532e-16,-1.0,1,Other,1,1,1
7.0,heavy rains,Darjeeling,West Bengal,"Flooded the rivers Teesta, Mahananda, Ranjit,Mechi,515 acres of Aman crop were affected",IMD,309.0,19.0,1976.0,8.0,15.0,1,1976.0,8.0,15.0,3.0,-0.8660254037844385,-0.5000000000000004,1,Heavy Rain,1,1,1
14.0,flood,"Mirzapur, Varanasi, Ayodhya, Azamgarh, Ballia, Etawah",Uttar Pradesh,"The flood waters of Gomti had entered Jaunpur, The Ganga,flooded 100 villages in Mirzapur district,inundated vast areas in Varanasi district, several villages in Faizabad,Azamgarh district were also flooded, Ballia was the worst affected district where Ganga was flowing 67 cms above the danger mark, the rising Yamuna flooded Etawah district, the loss of property,crops caused by floods in Uttar Pradesh were assessed to be about Rs 130 crores, the death toll in the current UP floods mounted to 228",IMD,,9.0,1976.0,9.0,8.0,1,1976.0,9.0,8.0,3.0,-1.0,-1.8369701987210297e-16,1,Other,1,6,1
38.0,floods,"Gurdaspur, Ferozepur, Amritsar, Rohtak,Hisar",Punjab,"Severely hit, 2498 villages had been badly affected, during the same period Haryana was also affected by floods, 1 million acres of standing crops of maize, sugar cane,coarse grains had been destroyed, 300 villages of Rohtak,Hisar districts were affected",IMD,,3.0,1976.0,8.0,1.0,1,1976.0,8.0,1.0,3.0,-0.8660254037844385,-0.5000000000000004,1,Other,1,5,1
7.0,floods,Jammu,Jammu and Kashmir,"The flood situation in most parts of Jammu region continued, the water level of Chenab,Ravi was over 10 ft above their danger mark, about 15 villages had been evacuated, 1400 houses collapsed,3000 acres of land eroded",IMD,5.0,,1976.0,8.0,8.0,1,1976.0,8.0,8.0,3.0,-0.8660254037844385,-0.5000000000000004,1,Other,1,1,1
1.0,"torential rain,heavy floods","Valsad, Dadra And Nagar Haveli",Dadra and Nagar Haveli,"Caused extensive damage to property,snapping rail,telecommunication links, the swollen Damanganga river washed away 900 ft. long bridge near Valsad,all the Delhi bound trains from Mumbai suspended, hundreds of people were rendered homeless, the union territory of Dada&Nagar Haveli were also affected by unprecedential floods in Damanganga river",IMD,,,1976.0,7.0,31.0,1,1976.0,7.0,31.0,3.0,-0.4999999999999997,-0.8660254037844388,0,Heavy Rain,1,2,1
1.0,heavy rains,"South Gujarat, Pune, Solapur, Nashik, Thane",Maharashtra,"Mumbai was lashed by torrential rains, the flood waters of Bhima entered the holy town of Pandharpur in Solapur district, about 10,000 residents were evacuated to safer places, paddy crops in 10,000 acres were washed away in Thane district, considerable damage to groundnut, sugarcane,jowar in Solapur district,loss of Kharif,fruit gardens estimated at Rs. 90 lakhs were caused",IMD,,27.0,1976.0,7.0,31.0,0,1976.0,7.0,31.0,3.0,-0.4999999999999997,-0.8660254037844388,0,Heavy Rain,1,5,1
7.0,flash floods,"Khammam, Bhadradri Bhadradri Kothagudem kothagudem",Telangana,"In the mighty river Godavari had isolated the town of Bhadrachalam,unundated 79 villages in Khammam district, 10,000 acres of standing paddy crops in West Godavari district were submerged",IMD,,36.0,1976.0,7.0,1.0,1,1976.0,7.0,1.0,3.0,-0.4999999999999997,-0.8660254037844388,1,Flash Flood,1,2,1
7.0,heavy rains,"Thiruvananthapuram, Kottayam, Ernakulam, Kozhikode,Thrissur",Kerala,Damaging crops worth Rs. 15 lakhs,IMD,,32.0,1976.0,7.0,22.0,1,1976.0,7.0,22.0,3.0,-0.4999999999999997,-0.8660254037844388,1,Heavy Rain,1,5,1
14.0,floods,"Chennai, The Nilgiris, Coimbatore",Tamil Nadu,"Chennai, Nilgiris,Coimbatore districts were affected by floods",IMD,,33.0,1976.0,10.0,8.0,0,1976.0,10.0,8.0,4.0,-0.8660254037844386,0.5000000000000001,1,Other,1,3,1
7.0,"heavy rains,floods",Coimbatore,Tamil Nadu,"Several parts of Coimbatore district were severely hit, 600 huts were damaged,2000 persons were rendered homeless, floods in Vaigal river in Madurai district rendered 100 families homeless",IMD,569.0,33.0,1976.0,11.0,15.0,0,1976.0,11.0,15.0,4.0,-0.5000000000000004,0.8660254037844384,1,Heavy Rain,1,1,1
